,sentiment,confidence,dominant_emotion
"Стига сте се карали, има нареждане от Съвета на Европа държавната администрация да се намали драстично. Няма значение кой е на власт. Който и да е на власт, ще ги намали ""чантаджиите"". Това е европейска заповед. Трябва да бъдат намалени най-малко два пъти. Това е политика на икономии.",Негативен,0.68,раздразнение
"Аз съм чел Законите на Паркинсън. Той, моля ви се, се оплаква, че във Великобритания имало 600 000 чантаджии. Е да де, ама населението е 60 милиона. 1 човек на 100... А у нас - един на 10 работещи.",Негативен,0.86,възмущение
"Така е, за 12 годишното си царуване Еднокнижника напълни цялата държавна администрация с негови хора. Няма значение, че са некомпетентни. Сега са му твърд електорат. И със семействата си правят поне 600 хиляди гласа за него.",Негативен,0.93,гняв
Това предвиждане ли е.....или Пожелание ???,Неутрален,0.72,скептицизъм
"(продължение) Ох, само чантата му не се опитвай да вземеш! Ще изреве като мълния през юли и ще изчезне, ще се разтвори в пространството. Той без чантата е нищо. Чантата - тя му осигурява заплата от 2-3 к месечно плюс бонуси, плюс възможност за уреждане на роднини... Осигурява му и стабилен трудов стаж за пенсия, което не се постига в частните фирми.",Негативен,0.82,ирония
"За Герб гласуват чантаджиите, хората с чанти. Около 300 000 са в цяла България. А уж от ППДБ щяха да намаляват държавните чиновници... Нищо не намалиха, герберските калинки са по местата си. На какво не е способен човекът с чанта, за да запази чантата си! Накарай го да коментира международното положение - ще говори с часове! Кажи му, че трябва да яде варени моркови - ще ги яде с килограми! Плесни му шамар - ще се ухили! Ами ако се опиташ да му вземеш чантата? (продължение)",Негативен,0.92,гняв
".....Е,.... ДРУГИТЕ ПАРТИИ , КЪДЕ СА, БЕ.....",Негативен,0.78,раздразнение
"как пък едно изследване не показа пеедофилите под 10%? 11-12 редовно... те са 7, демек 7%... ШИШИ премиер!",Негативен,0.92,гняв
До: анонименИ мен не са ме питали! Не са питали и никой от моите роднини и приятели!Странно!,Негативен,0.78,възмущение
Сова Харис- агенцията на БСП!,Негативен,0.62,недоверие
мда весник Труп пасквила на крадците от кръга на бсп спонсорите,Негативен,0.92,гняв
Като президент Радев беше една съвсем безлична фигура представяща се за натовски генерал на служба в Кремъл. Като евентуален премиер ще бъде още по-зле от това коетэ ни показа като президент защото ще трябва да поеме реална отговорност за действията си нещо което не направи за 10 години служба в президентството.,Негативен,0.96,гняв
"Българите пак скочиха върху мотиката ""спасителя"" на нацията.",Негативен,0.86,разочарование
Какъв оптимизъм да има след като в новата формация се настаниха стари муцунки.Държавността е срината и става все по труден живота на тази поробена територия на Балканите.Заради кефана 200 хиляди останалите мизерстват с пенсии и ниски заплати.,Негативен,0.97,разочарование
Тази агенция е най-фалшивата от всички,Негативен,0.95,гняв
"Ако такива са и реалните резултати следващата Неделя, стягам си багажа и се махам в посока запад. ЛЪЖА и измама е, че тази държава някога ще се оправи .",Негативен,0.97,разочарование
продавам рускитрол на шиш с зелен4уци,Неутрален,0.86,спокойствие
реалните резултати ще са рундю 23 герб 19 пеевски 10 пп дб 10 + - 1-2 процента за всеки друг невлиза а бсп итн и възраждане на сметището,Негативен,0.78,презрение
сова или кастриран бухал русофил .. но положението е такова рундю обира двата файтоналумпени гласуващи за възраждане и бсп костя максудовски и там който савет трупове оправлява бсп няма как да влезат и рундю да има висок процент електората им е един и същ,Негативен,0.87,гняв
"Сова ли е ? Знаем , че совите не са това , което са ! А тази сова е изплезила език като килим и ближе ли ближе миризливите чорапи на зеления потник. Еееех , Сова Харис, безсрамници сте ! И добре са ви платили !",Негативен,0.96,отвращение
Зельонъй чорапенко ще се хване с рома Кoпейкин и с БСП. Слушайте какво ви пее Кидика :)))))))))))))))))))))))))))))),Негативен,0.78,насмешка
Тралала. Доматите са по 10.87 Евро кг. Днес 09.04.2026. Увеличение с 33.5 процента.,Негативен,0.62,недоволство
"33,5%.Удри,Президенте.С теб сме.",Позитивен,0.82,подкрепа
"Някои пак си правят експерименти и на техния и на гърба на останалите ?! На какво се надяват и ге не знаят,на някакви техни фантазии и лъжите на летеца и обкръжението му - ченгета,олигарси ,пропаднали посредствени политици.Щом за 10 години не сте разбрали какъв е Радев ,вие сте не спасяеми .Пак ще горните Мисля,пак ще плюете това което сте избрали,пак ще търсите измисления ви ,, Спасител""",Негативен,0.96,гняв
"Какво стана със СЪЗДАТЕЛЯ на промяната кирил петков ?шАРЛАТАНИ , забравихте го и неговата половинка.май само печалбата ви блазни",Негативен,0.95,гняв
До: УМЕН. Миналата седмица агенцията на самия червен колю даде далеч по реални резултати съ около 4% за радев.А всеки знае къде гравитира червения колю,Негативен,0.68,недоверие
Тралала. Плод и зеленчук магазина е.,Неутрален,0.88,спокойствие
До: анонимен Ами то май между русофилския фанатизъм и ислямския няма разлика.Поне да бяха прочели нашете нсевдо патриоти ресофилите какво са писали нашите най видни р.еволюционери какво са писали за руснаците и защо от русофили в началото стават русофоби.Последно време нашите путинисти станаха и ислямисти.А да червения комунист няма родина той е интернационалист,Негативен,0.95,гняв
"Аз съм за Радев, нека съм ***, дето не гласува за досегашните айдуци. Айде със здраве, гледай да напечелиш малко стотинки че това ще ти е.",Негативен,0.92,гняв
"A днеса кой ще го закрие - като гледам от пишещите едно 80% са против Радев, демек политически ***/агитатори",Негативен,0.82,раздразнение
"хора всякакви, но масата са глупави и точно тях цели льотчика като електорат",Негативен,0.95,презрение
До: анонимен Образ ненагледен не ти ли прави впечатление че почти всички парти се опитват да се качат на власт със изчъгъртване и спихват или със обичам да плюя и мразя бойко.Ами тоя номер се изтърка и се обръща срещу тези които го ползват,Негативен,0.86,раздразнение
"До: Ха-ха трябва да знаеш че мнозинствота е за проевропейска ориентация и ако се наложи ще хвърчи перушина , но няма да ни завлечете пак там от където всички избягаха ох..л...юв",Негативен,0.88,гняв
До: АстонВ.труд е рупор на кремълската пропаганда това и децата го знаят вече,Негативен,0.92,гняв
До: Анонимко за съжаление колкото и да не ти харесва борбата и то много оспорвана за третото място ще е между ппдб и дпс пък ти си фантазирай измислените коефициенти на совата,Негативен,0.86,раздразнение
До: анонимен предполагам визираш генЛеонид Решетников който случайно минавал от тук да пие чай при първия избор за президент и горката корнелия Нинова му издигна кандидатурата тогава.Но най интересното е че скоро я гледах в едно интервю по дарик радио в ютуб където тя каза че Радев не носи промяна а подмяна.То отдавна го знаехме като виждаме червения кръжок около радев със червените олигарси които щели да борят другите олигарси.Все пак си мисля че номерът с мекиите се изтърка колкото и да е зат,Негативен,0.87,разочарование
До: анонимен вашият копейкин ще вземе власта ама на албанския празник с тия изкривени от совата коефициенти,Негативен,0.82,сарказъм
"До: анонименАми има .и някой да не знае че в.труд е с прокремъ.ска ориентация и как ще изкара моментите нагласи на избирателите.Миналата седмица агенцията на червения колю даде даже по реални резултати.Радев бе със 27% герб със 23.6, възраждане на копейкин около 6%.Борбата за първото место ще е между Герб и радев ,а жестока бо.ба за третото място е между дпс и ппдб",Негативен,0.62,недоверие
"Центаджиите плачат, но Възраждане ще вземе властта",Позитивен,0.78,увереност
"Радев втори, ППДБ четвърти - АМИН!",Позитивен,0.78,удовлетворение
"Прогнозните резултати на сова харис за изборите са на Митрофанова, която активно работи за мероприятието ""Радев"" на Москва. По точно Радев да ни върне страната в евразия под ботуша на москва, да сме им пета колона. ПП-ДБ нямат нищо общо с Радев. Той създаде групировка. За разлика от русофила,Радев, то ПП-ДБте са Евроатлантици за Европейски път на развитие на страната.",Негативен,0.9,гняв
"Посоченият от руските разузнавателни служби за президент Радев показва грубо политическо суеверно русофилство, умишлено го култивирано сред народните маси; политически юмрук, вървенето и воюването под което неизбежно води към предателство и национална катастрофа. С русофилството си Радев с безогледно дипломанстване с руската дипломация (с Митрофанофа ) неизбежно и фатално прави от България едно сляпо и послушно оръдие в ръцете на руската завоевателна политика на Балканите.",Негативен,0.96,гняв
"Само при ДПС- шиши,процентите са грешни,едва ли ще събере и 1 %",Негативен,0.86,презрение
"Щом дават 11% на Промяната , значи Радев, Бойко и Дилян имат 89%. Оставили са 11% за да има кого да бият в парламента.",Негативен,0.86,сарказъм
"Като видиш кой им е поръчител на поучването,става ясно как са го натъкмили.",Негативен,0.87,недоверие
Щом дават 34 близо процента за Радев значи за около и над 40 . Пеперазите ще имат 7-8 процента .,Негативен,0.72,презрение
Тази страна няма бъдеще с това племе.,Негативен,0.96,презрение
"До: 287 И аз не познавам слабо-умни дето ще гласуват за ПП-растите, ама на - виж колко процента са си купили от Совите.",Негативен,0.92,презрение
Това като се отчита 3 гласа за всяка машинна бюлетина за Радев ли? Манипулирахте ли вече машините??,Негативен,0.92,гняв
"Значи така, 8 годишно безразделно Радево ляво управление, народа се мъчи и плаче за нормално дясно управление, навсякъде по света избират ВСЕ десни, само в България обратното.... А бе, ЗАЩО не си го заврете от...",Негативен,0.96,гняв
А уж совата е мъдра птица,Негативен,0.72,ирония
"До: 266 1) НИКОй не те е спрял да си купиш еднопосочен билет и да заминават при някой спонсор (примерно Сорос младши) или да направиш изследване за местоположението на руския кораб. 2) Това, че някой мисли с главата си, а не с опорките от разни новинарски емисии, означава само, че колкото по-бързо освободиш терена от присъствието си- толкова по добре.",Негативен,0.95,гняв
"Ох, как ще плачете на 19-ти, само потривам ръце.",Негативен,0.92,злорадство
Това сред електората на БСП ли е?,Неутрален,0.92,любопитство
"Колкото повече Радевци се излагат драматично, толкова повече рейтинга им се вдига.... Вие за балами ли ни вземате?",Негативен,0.92,възмущение
"Ама може ли, нали Труд взе ясна линия в посока Масква, може ли проекта на генерал Решетников да не спечели?",Негативен,0.82,ирония
"Агенцията се е ПРОДАЛА, а Труд и Блъсков са корупционери. Какво ли не правят за пари.",Негативен,0.98,гняв
"Ха тъкмо за празниците, да ни развали настроението, мрси.",Негативен,0.92,разочарование
Това някаква деветоаприлска шега ли е?,Негативен,0.68,недоумение
"Сменили сте местата на ГЕРБ и Прогресивна (Регресивна) България, нали?",Негативен,0.78,ирония
"Лъжливата сова я знаем, а кой е Харис?!",Негативен,0.72,недоверие
"Лакмуса е БСП,щом пишат че влиза нещата са фалшиви.Кой ще гласува за БСП и защо?",Негативен,0.82,недоверие
"На тези социолози колко им плащат, за да намаляват процентите за Радев? Трима от четирима одобряват Радев, но не е ясно колко от тях ще гласуват. За ГЕРБ и СДС отдавна никой не гласува, освен техните членове и семействата им откраднали стотици милиарди след 1989 година.",Негативен,0.95,гняв
Мечтата на българският русофил е да стане руски крепостник!,Негативен,0.95,презрение
"Сава Харис е магистрална труженичка, за парип прави всякакви мошенгии!",Негативен,0.98,презрение
"Хахахааааа, ще се спукам от смях. :)))))))))) Сова харис - Червен Колю :)))))))))) Винаги предрича победа на БСП :))))) До сега нищо не е познал. Аре чао, че заминавам на тежка софра в Родопите.",Позитивен,0.92,веселие
Дано Възраждане да е първа политическа сила,Позитивен,0.86,надежда
"Хм, това не може да е вярно.",Негативен,0.78,недоверие
Совите не са това което са. Няма на всеки километър подкрепящ Радев. Защо ни будалкате? Аз работя с екип от 36 човека. Само един има където още се чуди дали да се довери на Радев и то заради Украйна.,Негативен,0.86,недоверие
"Казах, че ще гласувам за Радев и си го по Пам с платения социолог",Негативен,0.72,раздразнение
"Още ще върви пропагандата.Със всеки ден вдигат процента за Радев за сметка на двамата престъпника от герб и нн ,които дръпнаха парите авансово за мантинели,магистрали,кетъринг за училища и градини и подобни,които ние реално плащаме с данъците си. а в момента с нашите пари те ще купуват ромски гласове",Негативен,0.94,гняв
Чудя им се на тая сова що дават толкова малко проценти на фърчилото като са лапнали толкова голяма сума ще им се скара. Поне можеше 50 процента да им дадат нищо на следващите през есента ще се поправят.,Негативен,0.78,разочарование
"Радев, ГЕРБ и ДПС заедно ще успеят да спрат кражбите.",Позитивен,0.82,надежда
"BG-русофилите прекарват ежедневието си в създадени от американски платформи като Ф/Б (както и самия интернет, впрочем), но иначе много обичат да русофилстват, гушнати от удобствата на западния свят. Един предмет нямат у дома създаден от колхозниците, камо ли дреха, книга или кола, но иначе пак русофилстваме активно и мечтаем за евразийския колхозен рай. Ама си предпочитаме лошата Европа.",Негативен,0.94,презрение
"Не 33,5 %, а НАД 99,5 % е подкрепата за другаря Радев.",Негативен,0.72,сарказъм
Над 500 милиона евро вече са събрани от купувачите на гласове.А нали знаем кои най-много винаги купуват?,Негативен,0.86,възмущение
"Супер, първите две сили да направят правителство и да почват да борят олигархията :-)",Позитивен,0.86,оптимизъм
ППДБ са антибългарска партия,Негативен,0.92,гняв
"Българският русофил винаги ми е бил интересен като психическо устройство. Що за чувство за самоунижение, подчинение, що за липса за идентичност, самоопределеност и свобода имат тези хора. Как стремглаво се втурват да защитават една очевидно тоталитарна, корумпирана, антидемократична империя, винаги работила против българския национален интерес, само и само да се почувстват значими, да покажат робска преданост.",Негативен,0.97,гняв
"Рашаните пишат на нашата кирилица. Ние сме им дали букви да пишат и четат. Арогантни, агресивни и нагли. Ние сме ги направили хора. Но от сифилистика Ленин оскотяха. След втората световна война им се вдигна самочувствието на вечни ""пабедители"". ""Пабедители"" с помоща на Запада, а и всичките им главатари имат имоти в Европа и изучават децата си в скъпарски западни колежи, а 'пабедителите още живеят в комуналки и ходят във външни тоалетни. К.пейкин и русофилите да заминават за Масква. Кой ги спира?",Негативен,0.98,гняв
"До: инж. павел павлов Павле, отивай при приятеля си ****кин, но си вземи кофа с вазелин, че неговите солдати много са загоряли в землянките, не смеят да си покажат кратуните да не ги удари украински дрон.",Негативен,0.96,презрение
"До: До 254.... Не энам кво е эавършил yшaтия, ама като Бойко не може да фовори. Спокойна и народна реч, без отбягване на въпроси. Кога твоя отличник ще се яви на дебатите, на кръстосани въпроси да му чуем отличията",Негативен,0.72,ирония
Лъжа и измама са тия скалъппени данни,Негативен,0.96,гняв
"Совата лапнала 20 000 евра и снесла следния резултат.Толкова голямо количество прости ,обаче няма",Негативен,0.88,възмущение
"За Росен Миленов ще гласуват мн хора,но не мъцват за това.Бюлетина 10,За партия Нация с 18 и Възраждане с 10 това са партиите",Неутрален,0.74,увереност
"До: До 261да не си му майка, че го защитаваш, има доста хора със средно образование, които са преуспяли милионери",Негативен,0.72,раздразнение
"Радев е завършил математическа гимназия с отличие.След това военна академия с инженерна специалност.После завърша американската школа ""Максуел""с отличие и има звезда на алеята на славата.Явно,според теб,да си пожарникар е по престижно(иначе с уважение към професията,ама който си я изпълнява).",Негативен,0.72,ирония
"забелязва се масово купуване на вазелин от хора поддържащи радев , след изборите ще си изберат позата",Негативен,0.92,презрение
"тези статистики целят да ни откажат да гласуваме ли като ни натрапват кой щял да спечели? искат да ни кажат, че както и да гласуваме, боташа ще е премиерин, а мафията мнозинството в НС?",Негативен,0.93,гняв
"Пак гласятнещо с патерица сияние то е ясно ама ,няма да го бъде",Негативен,0.78,недоверие
"Абе,папагал,престани да повтаряш едни и същи глупости,че вече ни втръсна.",Негативен,0.98,раздразнение
"Борисов е пpocт, ама Радев е 200ста пъти по пpocт...щото е военен",Негативен,0.95,презрение
"За Пълен Потрес ще гласуват само някакви напълно заблудени разносвачи на пица и офисен планктон, дето си мислят, че е много ""Куул"" да си лилав...Нормалните хора отдавна отписахме тези продажни от.па. дъци...",Негативен,0.98,гняв
"Боташ, шарлатани, Гюро- това са заслугите на радев за България",Негативен,0.95,възмущение
"А пък ""приятелят""на Боко,Тръмп е на 78 и всички сме свидетели на лудостта му.",Негативен,0.92,презрение
гласувайте за Радев щом искате да върнем обратно нулите на банкнотите само че в рубли,Негативен,0.86,сарказъм
"гласувайте за ген. Радев да си оправим потъпканите отношения с братска Русия, това ще се почувства от народа! руснаците не искат от нас войници, те искат приятели!",Позитивен,0.82,надежда
Радев бил доста по млад?!? Той е с 3 години по млад от Борисов! Само че Борисов стана кмет на София още в началото на 40те си години а руския льотчок на 63 години се сетил да влиза в политиката,Негативен,0.86,презрение
"бе как 33,5% вчера бяха 49% вчера броих поддръжниците ни .",Неутрален,0.62,недоумение
"Неудачниците, които чакат спасителя да се появи и да им напълни хладилника са много. Тарикатите, които ще ги яхнат и обяздят са олигарсите, които финансират радев. Бедния будала ще бъде пак беден, радев и неговата шайка отсега се наредиха на трапезата за голямото лапане.",Негативен,0.96,гняв
за ххлебват софите - като едни истински цоцо цциолози,Негативен,0.62,подигравка
"Да,""Сияние"" е новата патерица.Ако влязат,де.",Негативен,0.78,скептицизъм
Всеки глас за ГЕРБ е глас за Пеевски във управлението на България.,Негативен,0.82,недоволство
гласувайте за Радев щом искате да ви пращат наборници пушечно месо в Украйна,Негативен,0.93,страх
"Време е народа да подкрепи Радев. Така, че берачите за гъби да си дадат един ден почивка и да отидат да гласуват.",Позитивен,0.78,подкрепа
Още Боташи искат хората 100%,Позитивен,0.68,одобрение
"Радев да даде десятък и на бързо ще се сдобие с още вот, като пасторите пророкуват, че той ще е чакания месия.",Негативен,0.82,ирония
25 години един и същ сериал чак се чудя как не му омръзва на народа. Преди изборите 33% след изборите оставка и пак наново пак борим мафии пак драми. Докато дойде следващия месия гладен и бос и таман се нахрани и следващия,Негативен,0.92,разочарование
Радев ще вземе поне едни 40 процента според мен.Партия Сияние е създадена с цел да се разпръсква вота и да се намалява вота за Прогресивна България-,Негативен,0.68,подозрение
"Така изглежда.С уважение към мъката на Николай Попов,но сам си каза,че не съжалява за участието си в ГЕРБ.Освен това плюе яростно по ПП ДБ,което потвърждава съмненията ми,че ГЕРБ си подготвиха патерица.",Негативен,0.86,недоверие
"След изборите Радев, копейкин и Крум зарков ще играят заедно. Те са от едно котило ( дс- бкп-кгб). И тогава постепенно забравете за ЕС и добре дошли в Съветски съюз. Няма да има бизнес и екскурзии в Италия, Испания, Франция......Няма да ходите на море в Гърция, няма евро. Ще ходите само в Масква на красная площадь да си правите селфи на мавзолея на сифилистика Ленин и на екскурзии в Сибир. Радев, копейкин и зарков ще продължат да си водят щурвите из Европа и да си трупат милионоте в евро.",Негативен,0.97,гняв
"И днес установявам, че пепедеберастите, заедно с нахраненините от ""равноотдалеченият"" от партиите гюров инфлуенсъри, са залели социалните мрежи и форумите с брутални лъжи и внушения. Е, няма да помогне нито това, нито ""нашето"" МВР на спихналата петроханска подкрепа. Иначе казано - около 7 - 7.5 процента на изборите.",Негативен,0.95,гняв
"Развалихте празниците на Борисов, сега ще вдигне кръвно.",Негативен,0.86,ирония
Борисов е дядка - на 67 години. Радев е доста по-млад.,Негативен,0.78,пренебрежение
"Гласувайте за Радев да разбием мафията ГЕРБ-НН, която 20 години изсмуква жизнените сокове на България и краде де-що има.",Негативен,0.95,гняв
"Гледам голямото Д никакво го няма,а тиквата сипе каламбури,демек,не ми пука.Пуснсли са аватарите да им вдигат....процентите.",Негативен,0.9,разочарование
СИЯНИЕ ли ще са новото ИТН (патерица) на Тиквата и Св ин ята ?,Негативен,0.88,презрение
134 депутата. точка,Неутрален,0.95,неутралност
"М-р Кеш Боташов разчита на турците, щото им осигури по милионче на ден.",Негативен,0.82,възмущение
"Интересно - совата дават 33+ процента, а другите само 22-3",Неутрален,0.78,любопитство
Тоя дядка Радев няма шанс. Борисов ще го разбие.,Негативен,0.9,презрение
Гербави,Негативен,0.78,презрение
"Баце ше ги утепа, Шиши ше ги изкърти.",Позитивен,0.68,ентусиазъм
"Погледнато без емоции, разликата между Радев и Борисов няма да бъде повече от 8 процента, а тази между Борисов и Василев - по-малко от 12 процента. За щастие ще имаме възможност да коментираме и след изборите.",Неутрален,0.82,спокойствие
Тоя гнyceн чopбар ще го изметем от политическата сцена! Само Левски!,Негативен,0.95,гняв
Възмездие за грабителите на народа с бюлетина номер 14!,Негативен,0.88,гняв
Сега Бойко трябва да му прави мръcно няколко години и да имаме избори през 3 месеца докато гpoзноватия льoтчик не стане политически тpyn,Негативен,0.96,гняв
"Щом ""Сова Харис""дава такива резултати,значи за Радев са много повече.",Позитивен,0.58,увереност
"Радев с 93-94 депутата си е баят страшничко за всеички. Ако това Сияние влезе, и се коалират с БСП и Радев ... уоу.",Негативен,0.82,тревога
Щом,Неутрален,0.98,неутралност
Бившия пилот...,Неутрален,0.74,неутралност
"Какъв шамар го чака пилота, та чак ще мине на авто-пилот...",Негативен,0.92,злорадство
"Трябва да са много зле с рейтинга ППДБ, щом с ""наше МВР"", ""наше рравителство и наша ЦИК, им дават смо 11%.",Негативен,0.86,презрение
България за българите с бюлетина номер 14!,Позитивен,0.74,патриотизъм
"До: Генерал Лебед Ще коментираме след изборите само фактите, а не червеникавите сънища на придворния социолог. Така че си приготви носни кърпички. Много!",Негативен,0.9,презрение
"тази нещо са се объркали, проценттите на Радев са 100",Негативен,0.68,недоверие
Пп Дб бутнали правителството ! Пак процентите падат?!Дали е 30% или 60% едни и същи резултати вадят за някой партии!!Тва при грешка над определен процент да се взимат лицензите на тия агенции !!,Негативен,0.92,гняв
Добри пари правят за реклама соцолозите. Само избори да има.,Негативен,0.78,ирония
"До 198 И нищо не знаеш за ТУРЦИТЕ, така че мълчи!",Негативен,0.95,гняв
"До 198 КАКВО Е БЕ! МЛАКНИ, БЕ!",Негативен,0.95,гняв
Рундьо със сигурност ще вкара Банкянския в Затвора.,Негативен,0.86,гняв
"Ако чета коментарите, направо се чудя, как Радев има повече от 2% ...",Негативен,0.78,недоумение
Сиание как ги слагате тия 3%Колко милиона души ще гласуват общо?Да сложиш име на коалиция на починалото ти дете е ..Турците ще си гласуват за ахмед доста със сиг няма да е 1%!,Негативен,0.82,възмущение
Чекмеджан е в несвяст.Зелените Чорапи го смаза.,Негативен,0.92,тревога
НАУЧИ БЪЛГАРСКИ!!!:))),Позитивен,0.95,радост
"тази нещо са се объркали, проценттите на Радев са 43",Негативен,0.78,разочарование
Щом най корумпираните кадри на ПП-ДБ са още на постове в държавата ми е интересно кои ще гласува за тази пропаднала партия изградена от слугинаж на пеевски,Негативен,0.97,гняв
"Балонът Радев се надува, надува, надува....от оня, чието име не трябва да се споменава!!! А именно - ФСБ и дългата ръка на Решетников!",Негативен,0.92,гняв
РОЗОВИ ПРАСЕНЦА,Неутрален,0.82,неутралност
Браво на Мистър КЕШ.И аз ще дам гласа си за Рундьо.,Позитивен,0.82,одобрение
"Регионализъм и подкрепа за местните производители, вместо глобализъм и ограбване! С бюлетина номер 14!",Позитивен,0.72,решителност
Успех на ГЕРБ на изборите ! Не на про-руската партия Боташ и петроханските и сателити !,Негативен,0.74,гняв
"ЕВРОПА СЛЕД НЕГО, ШЕ СЕ ЗАНИМАВА С РАДЕВ.... ТОГАВА СОВАТА ДРУГА ПЕСЕН ШЕ ЗАПЕЕ.",Негативен,0.82,гняв
"Лъжете сови, орли и ястреби! Ама много лъжете! Не си мислете, че народът е ***! Радев ще има тези резуртати, само ако си ги купи! Възможно е, вече НЕГОВАТА ОРИГАРХИЯ: Бобокови, Копринков, Гергов, да са ги напазарували! Жалко ще е, този злобен човечец Радев, да продължава да въргти държавата на шиш?!",Негативен,0.98,гняв
този пилот вземе ли властта ще се опита да направи и президентска република и ептен ще пусне корени завинаги,Негативен,0.88,тревога
Давай Радев! Изрини кочинката!,Негативен,0.72,гняв
"До: Архивите са живиЩе си счупиш пръстите от зор,украински просещ архивар.",Негативен,0.86,гняв
"За Радев е по-важна Русия от България. Говори срещу ППДБ, а за Бирисов и Шиши се снишава. Те могат да купуват избори, но за Радев е проблем, че Гюров е поискал помощ ЕС за намесата на Русия в изборите, както правят руснаците и в Унгария за победа на Орбан.",Негативен,0.93,възмущение
"""Президентът Румен Радев има всички заслуги и напълно отговаря на условията да бъде удостоен със званието ПОЧЕТЕН ГРАЖДАНИН НА РУСКАТА ФЕДЕРАЦИЯ. Той ЯСНО РАЗБИРА ПОЛИТИКАТА, КОЯТО ВОДИ ВЛАДИМИР ПУТИН, а тя е да се установи нов световен ред и военната операция в Украйна да завърши с МИРНИ ПРЕГОВОРИ , като се изпълнят УСЛОВИЯТА НА МОСКВА.""Генерал Леонид Решетников17.02.2025",Позитивен,0.86,одобрение
